WINTER 13 : 6/11/2013 6:18:32 PM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Report Title: All Classes ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Non-Clustered Classes: ,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
5224,ESL 015  02,ESL 1 R/W,5,TTh,6:00 PM,BE 3132,"Pedersen, p.",22,/,25,0,7.3,7.3,
,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
,,,,,,,,,,,List,TOTAL,STATE,
5221,ESL 016  02,ESL 1 L/S,5,MW,6:00 PM,BE 3132,"Pedersen, p.",22,/,25,0,7.3,7.3,
5002,ESL 016  01,ESL 1 L/S,5,DAILY,8:00 AM,BE 3200,"Loh,andre ",23,/,25,0,7.7,7.7,
5040,ESL 025  01,ESL 2 R/W,5,DAILY,9:00 AM,BE 3119,"Sison,verna ",23,/,25,0,7.7,7.7,
5230,ESL 025  04,ESL 2 R/W,5,TTh,6:00 PM,BE 3116,"Bretz, karen",17,/,25,0,5.7,5.7,
5041,ESL 025  02,ESL 2 R/W,5,DAILY,9:00 AM,BE 3117,"Boon,rebecca",18,/,25,0,6,6,
5231,ESL 025  05,ESL 2 R/W,5,TTh,6:00 PM,BE 3118,"Kessler, j. ",16,/,25,0,5.3,5.3,
5043,ESL 025  03,ESL 2 R/W,5,DAILY,12:00 PM,,Cancel/dec26,0,/,25,0,0,0,
5025,ESL 026  01,ESL 2 L/S,5,DAILY,8:00 AM,BE 3119,"Sison,verna ",23,/,25,0,7.7,7.7,
5026,ESL 026  02,ESL 2 L/S,5,DAILY,8:00 AM,BE 3117,"Boon,rebecca",18,/,25,0,6,6,
5028,ESL 026  03,ESL 2 L/S,5,DAILY,11:00 AM,,Cancel/dec26,0,/,25,0,0,0,
5227,ESL 026  04,ESL 2 L/S,5,MW,6:00 PM,BE 3116,"Bretz, karen",17,/,25,0,5.7,5.7,
5228,ESL 026  05,ESL 2 L/S,5,MW,6:00 PM,BE 3117,"Kessler, j. ",16,/,25,0,5.3,5.3,
5236,ESL 035  05,ESL 3 R/W,5,TTh,6:00 PM,BE 3119,"Chao, y. ",31,/,29,0,10.3,10.3,
5067,ESL 035  02,ESL 3 R/W,5,DAILY,9:00 AM,BE 3114,"Rodman, kim ",13,/,29,0,4.3,4.3,
5071,ESL 035  03,ESL 3 R/W,5,DAILY,12:00 PM,BE 4115,"Boon,rebecca",27,/,29,0,9,9,
5066,ESL 035  01,ESL 3 R/W,5,DAILY,9:00 AM,BE 3118,Van genderen,21,/,29,0,7,7,
5237,ESL 035  06,ESL 3 R/W,5,TTh,6:00 PM,,Cancel/dec26,0,/,29,0,0,0,
5234,ESL 036  06,ESL 3 L/S,5,MW,6:00 PM,,Cancel/dec26,0,/,29,0,0,0,
5056,ESL 036  03,ESL 3 L/S,5,DAILY,11:00 AM,BE 4179,"Boon,rebecca",27,/,29,0,9,9,
5233,ESL 036  05,ESL 3 L/S,5,MW,6:00 PM,BE 3119,"Chao, y. ",31,/,29,0,10.3,10.3,
,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
,,,,,,,,,,,List,TOTAL,STATE,
5053,ESL 036  02,ESL 3 L/S,5,DAILY,8:00 AM,BE 3115,"Rodman, kim ",13,/,29,0,4.3,4.3,
5051,ESL 036  01,ESL 3 L/S,5,DAILY,8:00 AM,BE 3114,Van genderen,21,/,29,0,7,7,
5243,ESL 045A  06,ESL 4A R/W,5,TTh,6:00 PM,BE 3109,"Moheb,parviz",17,/,29,0,5.7,5.7,
5092,ESL 045A  02,ESL 4A R/W,5,DAILY,9:00 AM,BE 3193,Vaughn ,27,/,29,0,9,9,
5091,ESL 045A  01,ESL 4A R/W,5,DAILY,9:00 AM,BE 3140,Levine ,25,/,29,0,8.3,8.3,
5242,ESL 045A  05,ESL 4A R/W,5,TTh,6:00 PM,BE 3120,"Proctor, w. ",29,/,29,0,9.7,9.7,
5093,ESL 045A  03,ESL 4A R/W,5,DAILY,12:00 PM,BE 3193,Levine ,24,/,29,0,8,8,
5248,ESL 045B  05,ESL 4B R/W,5,TTh,6:00 PM,BE 4183,"Saldin,josie",23,/,29,0,7.7,7.7,
5115,ESL 045B  01,ESL 4B R/W,5,DAILY,9:00 AM,BE 3203,"Tesdell, r. ",24,/,29,0,8,8,
5122,ESL 045B  04,ESL 4B R/W,5,DAILY,12:00 PM,BE 4144,"Tesdell, r. ",28,/,29,0,9.3,9.3,
5116,ESL 045B  02,ESL 4B R/W,5,DAILY,9:00 AM,BE 3109,"Shah, j.s. ",14,/,29,0,4.7,4.7,
5249,ESL 045B  06,ESL 4B R/W,5,TTh,6:00 PM,BE 4134,"Naughton,pat",20,/,29,0,6.7,6.7,
5078,ESL 046A  02,ESL 4A L/S,5,DAILY,8:00 AM,BE 4168,Serequeberha,27,/,29,0,9,9,
5077,ESL 046A  01,ESL 4A L/S,5,DAILY,8:00 AM,BE 4179,"Tompson, d. ",29,/,29,0,9.7,9.7,
5082,ESL 046A  03,ESL 4A L/S,5,DAILY,11:00 AM,BE 3193,"Sison,verna ",26,/,29,0,8.7,8.7,
5239,ESL 046A  06,ESL 4A L/S,5,MW,6:00 PM,BE 4179,"Proctor, w. ",21,/,29,0,7,7,
5240,ESL 046A  07,ESL 4A L/S,5,MW,6:00 PM,BE 3109,"Moheb,parviz",21,/,29,0,7,7,
5246,ESL 046B  06,ESL 4B L/S,5,MW,6:00 PM,,Cancel/dec26,0,/,29,0,0,0,
5107,ESL 046B  04,ESL 4B L/S,5,DAILY,11:00 AM,BE 4182,"Tesdell, r. ",26,/,29,0,8.7,8.7,
5098,ESL 046B  01,ESL 4B L/S,5,DAILY,8:00 AM,BE 4123,"Tesdell, r. ",15,/,29,0,5,5,
,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
,,,,,,,,,,,List,TOTAL,STATE,
5100,ESL 046B  02,ESL 4B L/S,5,DAILY,8:00 AM,BE 3109,"Shah, j.s. ",17,/,29,0,5.7,5.7,
5245,ESL 046B  05,ESL 4B L/S,5,MW,6:00 PM,BE 4135,"Saldin,josie",25,/,29,0,8.3,8.3,
5052,ESL 049  02,VOCATIONAL ESL LEVEL 4,3,TWTh,5:00 PM,,Cancel 11/02,0,/,0,0,0,0,
5139,ESL 055A  01,ESL 5A R/W,5,DAILY,9:00 AM,BE 3211,Ekstrom ,17,/,29,0,5.7,5.7,
5159,ESL 055A  CP,ESL 5 CP,5,DAILY,10:00 AM,BE 4115,"Conley,chris",9,/,29,0,3,3,
5255,ESL 055A  05,ESL 5A R/W,5,TTh,6:00 PM,BE 4104,"Chen, victor",27,/,29,0,9,9,
5254,ESL 055A  04,ESL 5A R/W,5,TTh,6:00 PM,,Cancel/dec26,0,/,29,0,0,0,
5140,ESL 055A  02,ESL 5A R/W,5,DAILY,9:00 AM,BE 4123,"Young, kent ",23,/,29,0,7.7,7.7,
5146,ESL 055A  03,ESL 5A R/W,5,DAILY,12:00 PM,BE 4159,Van genderen,11,/,29,0,3.7,3.7,
5164,ESL 055B  03,ESL 5B R/W,5,DAILY,12:00 PM,BE 3203,"Rodman, kim ",9,/,29,0,3,3,
5260,ESL 055B  04,ESL 5B R/W,5,TTh,6:00 PM,BE 4119,"Halkett, g. ",30,/,29,0,10,10,
5162,ESL 055B  01,ESL 5B R/W,5,DAILY,9:00 AM,BE 4168,"Schmidt,v ",26,/,29,0,8.7,8.7,
5163,ESL 055B  02,ESL 5B R/W,5,DAILY,9:00 AM,,Cancel/dec26,0,/,29,0,0,0,
5252,ESL 056A  04,ESL 5A L/S,5,MW,6:00 PM,BE 3118,"Chen, victor",22,/,29,0,7.3,7.3,
5253,ESL 056A  05,ESL 5A L/S,5,MW,6:00 PM,,Cancel/dec26,0,/,29,0,0,0,
5126,ESL 056A  02,ESL 5A L/S,5,DAILY,8:00 AM,BE 4136,Quinn ,20,/,29,0,6.7,6.7,
5131,ESL 056A  03,ESL 5A L/S,5,DAILY,11:00 AM,BE 4115,Van genderen,18,/,29,0,6,6,
5125,ESL 056A  01,ESL 5A L/S,5,DAILY,8:00 AM,BE 4130,Ekstrom ,22,/,29,0,7.3,7.3,
5150,ESL 056B  01,ESL 5B L/S,5,DAILY,8:00 AM,BE 4137,Levine ,16,/,29,0,5.3,5.3,
5151,ESL 056B  02,ESL 5B L/S,5,DAILY,8:00 AM,BE 4182,"Schmidt,v ",10,/,29,0,3.3,3.3,
,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
,,,,,,,,,,,List,TOTAL,STATE,
5155,ESL 056B  03,ESL 5B L/S,5,DAILY,11:00 AM,BE 3211,Levine ,14,/,29,0,4.7,4.7,
5257,ESL 056B  04,ESL 5B L/S,5,MW,6:00 PM,BE 3192,"Halkett, g. ",27,/,29,0,9,9,
5323,ESL 068  06,ORIEN/INT,1,MTWTh,12:00 PM,BE 3118,"Proctor, w. ",18,/,25,0,1.2,1.2,
5327,ESL 068  10,ORIEN/INT,1,MTWTh,6:00 PM,BE 3117,"Loos,daniel ",22,/,25,0,1.5,1.5,
5320,ESL 068  03,ORIEN/INT,1,MTWTh,8:00 AM,BE 3119,"Scheiner,r. ",17,/,25,0,1.1,1.1,
5325,ESL 068  08,ORIEN/INT,1,MTWTh,6:00 PM,BE 3118,"Ericksen, r.",19,/,25,0,1.3,1.3,
5318,ESL 068  01,ORIEN/INT,1,MTWTh,8:00 AM,BE 3117,"Young, kent ",20,/,25,0,1.3,1.3,
5322,ESL 068  05,ORIEN/INT,1,MTWTh,12:00 PM,SA 0302,"Loos,daniel ",13,/,25,0,0.9,0.9,
5324,ESL 068  07,ORIEN/INT,1,MTWTh,6:00 PM,BE 3117,Cancel 11/02,0,/,25,0,0,0,
5326,ESL 068  09,ORIEN/INT,1,MTWTh,6:00 PM,BE 3119,Cuizon-loor ,21,/,25,0,1.4,1.4,
5319,ESL 068  02,ORIEN/INT,1,MTWTh,8:00 AM,BE 3118,Forero-moren,24,/,25,0,1.6,1.7,
5321,ESL 068  04,ORIEN/INT,1,MTWTh,8:00 AM,BE 3120,"Proctor, w. ",27,/,25,0,1.8,1.8,
5277,ESL 093  01,ENGLISH FOR NON-NATIVES,5,DAILY,10:00 AM,BE 3117,Vaughn ,15,/,25,0,5,5,
5278,ESL 096  01,COLL.PREP 1 READING,5,DAILY,8:00 AM,BE 3118,"Conley,chris",25,/,25,1,8.3,8.3,
5281,ESL 097  01,COLL.PREP 1 WRITING,5,DAILY,9:00 AM,BE 4115,"Conley,chris",23,/,25,11,7.7,7.7,
5293,ESL 097  02,COLL.PREP FOR NON ENGLIS,5,DAILY,9:00 AM,BE 2115,"Kayne,judith",17,/,25,0,5.7,5.7,
5284,ESL 098  01,COLL.PREP 2 READING,5,DAILY,8:00 AM,BE 4144,Vaughn ,18,/,25,6,6,6,
5286,ESL 098  HY1,COLL.PREP 2 READING,5,T,6:00 PM,BE 3202,"Leung,ellen ",13,/,25,0,4.3,4.3,
5288,ESL 098  02,COLL.PREP 2 READING,5,DAILY,8:00 AM,BE 3116,"Kayne,judith",15,/,25,0,5,5,
5287,ESL 099  01,COLL.PREP 2 WRITING,5,DAILY,9:00 AM,BE 4185,"George, j. ",22,/,25,12,7.3,7.3,
,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
,,,,,,,,,,,List,TOTAL,STATE,
5289,ESL 099  HY1,COLL.PREP 2 WRITING,5,W,6:00 PM,BE 3134,"George, j. ",13,/,25,0,4.3,4,
5285,ESL 099  02,COLL.PREP 2 WRITING,5,DAILY,9:00 AM,FA 0126,Serequeberha,16,/,25,0,5.3,5.3,
2371,FAM 041  01,PARENT ED CHILD STUDY,2,T,12:30 PM,BE 1124,Dahl ,15,/,20,0,2.5,2.5,
2374,FAM 041  02,PARENT ED CHILD STUDY,2,W,12:30 PM,BE 1124,"Olson,sally ",17,/,20,0,2.8,2.8,
2386,FAM 051  02,PARENT ED CHILD STUDY,2,T,9:30 AM,BE 1124,Dahl ,21,/,20,0,3.5,3.5,
2395,FAM 051  05,PARENT ED CHILD STUDY,2,M,9:00 AM,-,Brodsky ,20,/,20,0,3.3,3.3,
2396,FAM 051  06,PARENT ED.: 12-24 MONTHS,2,Th,9:00 AM,-,Cancel19jul ,0,/,22,0,0,0,
2383,FAM 051  01,PARENT ED CHILD STUDY,2,M,9:30 AM,BE 1124,"Olson,sally ",18,/,20,0,3,3,
2392,FAM 051  04,PARENT ED.: 12-24 MONTHS,2,W,9:00 AM,BE 1124,"Olson, sally",18,/,20,0,3,3,
2397,FAM 051  07,PARENT ED.: 12-24 MONTHS,2,F,9:00 AM,-,Cancel19jul ,0,/,22,0,0,0,
2398,FAM 051  08,PARENT ED.: 12-24 MONTHS,2,F,9:30 AM,-,Cancel19jul ,0,/,22,0,0,0,
2389,FAM 051  03,PARENT ED CHILD STUDY,2,Th,9:30 AM,BE 1124,"Olson,sally ",17,/,20,0,2.8,2.8,
2401,FAM 061  01,PARENT ED CHILD STUDY,2,M,12:00 PM,BE 1124,Dahl ,17,/,20,0,2.8,2.8,
2420,FAM 061  08,PARENT ED CHILD STUDY,2,F,1:00 PM,-,"Engvall, l. ",25,/,20,0,4.2,4.2,
2461,FAM 061  08,PARENT ED.: 24-36 MONTHS,2,T,9:00 AM,-,Mc elmeel ,20,/,22,0,3.3,3.3,
2413,FAM 061  05,PARENT ED.: 24-36 MONTHS,2,Th,9:00 AM,-,Mcelmeel ,20,/,20,0,3.3,3.3,
2414,FAM 061  10,PARENT ED.: 24-36 MONTHS,2,T,9:00 AM,-,Calhoun ,20,/,20,0,3.3,3.3,
2422,FAM 061  09,PARENT ED.: 24-36 MONTHS,2,T,5:30 PM,BE 1124,Cancel/mar25,0,/,20,0,0,0,
2404,FAM 061  02,PARENT ED CHILD STUDY,2,W,9:30 AM,-,Dahl ,20,/,20,0,3.3,3.3,
2416,FAM 061  06,PARENT ED CHILD STUDY,2,T,9:00 AM,-,Brodsky ,20,/,20,0,3.3,3.3,
,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
,,,,,,,,,,,List,TOTAL,STATE,
2407,FAM 061  03,PARENT ED CHILD STUDY,2,M,1:00 PM,-,Brodsky ,20,/,20,0,3.3,3.3,
2410,FAM 061  04,PARENT ED CHILD STUDY,2,T,1:00 PM,-,Cancel19jul ,0,/,22,0,0,0,
2434,FAM 071  04,PARENT ED CHILD STUDY,2,Th,12:00 PM,-,Cancel feb 5,0,/,22,0,0,0,
2464,FAM 071  01,PARENT ED.: 36-48 MONTHS,2,Th,9:00 AM,-,Cancel feb2 ,0,/,22,0,0,0,
2443,FAM 071  07,PARENT ED.: 36-48 MONTHS,2,F,1:00 PM,-,Brodsky ,20,/,22,0,3.3,3.3,
2449,FAM 071  09,PARENT ED.: 36-48 MONTHS,2,T,12:30 PM,-,"Engvall, l. ",20,/,22,0,3.3,3.3,
2437,FAM 071  05,PARENT ED CHILD STUDY,2,T,9:30 AM,-,Cancel feb 5,0,/,22,0,0,0,
2446,FAM 071  08,PARENT ED CHILD STUDY,2,W,9:00 AM,-,Cancel19jul ,0,/,22,0,0,0,
2425,FAM 071  01,PARENT ED CHILD STUDY,2,T,9:00 AM,-,Cancel19jul ,0,/,22,0,0,0,
2428,FAM 071  02,PARENT ED CHILD STUDY,2,M,3:30 PM,-,Cancel19jul ,0,/,22,0,0,0,
2431,FAM 071  03,PARENT ED.: 36-48 MONTHS,2,F,1:00 PM,-,"Karovsky, j.",20,/,20,0,3.3,3.3,
2440,FAM 071  06,PARENT ED CHILD STUDY,2,M,9:00 AM,-,Mcelmeel ,20,/,20,0,3.3,3.3,
2458,FAM 081  03,PARENT ED CHILD STUDY,2,W,9:30 AM,-,Mcelmeel ,20,/,20,0,3.3,3.3,
2452,FAM 081  01,PARENT ED CHILD STUDY,2,W,1:00 PM,-,Cancel19jul ,0,/,22,0,0,0,
200,FRCH&121  HY,FRENCH I,5,MTWTh,12:00 PM,BE 4171,"Kempen, l. ",27,/,30,3,9,5.7,
219,FRCH&122  03,FRENCH II,5,TTh,6:00 PM,BE 4130,"Bodi,philip ",15,/,30,0,5,3.7,
218,FRCH&122  H2,FRENCH II,5,MTWTh,11:00 AM,BE 4171,"Kempen, l. ",17,/,30,0,5.7,5.3,
217,FRCH&122  H1,FRENCH II,5,MTWTh,10:00 AM,BE 4171,Kempen ,25,/,30,0,8.3,6.3,
230,FRCH 298  01,INDEPENDENT STUDY - FRCH,5,Arr,AR:R M,BE 4128,"Lane,bradley",0,/,5,0,0,0,
5365,GED 052  02,GED 5 COMM,3,TTh,7:30 PM,BE 3140,Gribos ,8,/,0,0,1.6,1.6,
,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
,,,,,,,,,,,List,TOTAL,STATE,
1493,GEOG&100  01,INTRO TO GEOGRAPHY,5,DAILY,10:00 AM,BE 4136,"Giday,taare ",31,/,35,0,10.3,6,
1495,GEOG 230  01,URBANIZATION-DEV NATIONS,5,DAILY,11:00 AM,BE 4136,"Giday,taare ",30,/,35,0,10,8.3,
1227,GEOL&101  01,PHYSICAL GEOLOGY,5,MTW,10:00 AM,SAM0201,Hull ,25,/,24,3,8.3,6,
1228,GEOL&101  11,PHYSICAL GEOLOGY,5,MW,6:00 PM,SAM0201,Harrell ,25,/,24,0,8.3,7.3,
1226,GEOL&101  HY,PHYSICAL GEOLOGY,5,HYBRID - Th,8:00 AM,SAM0201,Hull ,23,/,24,1,7.7,5.7,
1229,GEOL 111A  01,GEOL FIELD DAY-FIDALGO,1,MTW,8:00 AM,SAM0201,Cancel jul18,0,/,20,0,0,0,
1230,GEOL 111B  01,GEOL FIELD DAY-VANTAGE,1,MTW,8:00 AM,SAM0201,Cancel jul18,0,/,20,0,0,0,
231,GERM&122  01,GERMAN II,5,DAILY,10:00 AM,BE 3193,"Hengge, jan ",20,/,30,0,6.7,5.7,
4923,HDC 101  IBS,ORIENTATION TO COLLEGE,2,TTh,: M,BE 3196,Cancel/mar 8,0,/,35,0,0,0,
3937,HDC 102  01,COLLEGE SURVIVAL SKILLS,3,MW,1:00 PM,BE 2115,Kato ,17,/,25,1,3.4,3,
3967,HDC 103  01,CRITICAL THINKING,3,MWF,8:00 AM,BE 4185,"Young, tina ",18,/,25,0,3.6,3,
3969,HDC 113  01,READING/TEXT BK NOTE STR,1,DAILY,12:00 PM,BE 2115,"Miller, l. ",13,/,20,0,0.9,0.5,
3970,HDC 114  01,LISTENING LECTURE NOTES,1,DAILY,12:00 PM,BE 2115,Hammie ,8,/,20,0,0.5,0.3,
3972,HDC 125  01,LEARNING MATH STRATEGIES,2,MW,12:00 PM,BE 4181,"Souma, a. ",33,/,32,0,4.4,4.4,
3975,HDC 190  01,WOMEN IN SOCIETY,2,W,12:00 PM,BE 1110,"Aden, p. ",42,/,70,0,5.6,5.2,
7870,HDC 197  01,LEADERSHIP PRACTICE/APP,3,Arr,AR:R M,-,"Kato, karen ",1,/,20,0,0.1,0.1,
1236,HEA 125  01,HEALTH AND WELLNESS,5,TTh,2:00 PM,SAM0103,"Blackwell, r",30,/,35,0,10,7.7,
9172,HEA 125  OL,HEALTH AND WELLNESS,5,Online,-,-,"Ocken, d. ",24,/,25,2,8,5.3,
1238,HEA 225  01,GLOBAL HEALTH,5,TTh,2:00 PM,SAM0105,Mclean-riggs,31,/,35,0,10.3,8,
1240,HEA 299  01,INDEPENDENT STUDY,5,Arr,AR:R M,ARR,"Mc lean, jay",1,/,1,0,0.3,0.3,
,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
,,,,,,,,,,,List,TOTAL,STATE,
1515,HIST&128  01,WORLD CIVILIZATIONS III,5,MW,6:00 PM,BE 4122,Weston ,17,/,35,0,5.7,4,
1520,HIST&136  01,US HISTORY 1,5,DAILY,11:00 AM,BE 4105,"Cardenas, j.",40,/,35,4,13.3,1.3,
1521,HIST&136  02,US HISTORY 1,5,DAILY,12:00 PM,BE 4140,"Esch, thomas",40,/,35,2,13.3,2,
9130,HIST&136  OL,US HISTORY 1,5,Online,-,-,"Lai,tracy ",22,/,25,5,7.3,4.3,
1526,HIST&137  01,US HISTORY 2,5,DAILY,10:00 AM,BE 3109,"Lai,tracy ",31,/,35,3,10.3,4.7,
9132,HIST&137  OL,US HISTORY 2,5,Online,-,-,Weston ,19,/,25,0,6.3,4.7,
1528,HIST&137  03,US HISTORY 2,5,DAILY,9:00 AM,BE 4171,"Lai,tracy ",30,/,35,1,10,6,
1527,HIST&137  02,US HISTORY 2,5,TTh,6:00 PM,BE 3192,Schwartz ,32,/,35,0,10.7,6.7,
1529,HIST 150  01,HIST. AMER. MINORITIES,5,DAILY,12:00 PM,BE 4143,Cancel/dec ,0,/,35,0,0,0,
1582,HIST&214  02,PACIFIC NW HISTORY,5,DAILY,12:00 PM,BE 4118,"Cardenas, j.",35,/,35,1,11.7,1.7,
1581,HIST&214  01,PACIFIC NW HISTORY,5,DAILY,10:00 AM,BE 4105,"Cardenas, j.",36,/,35,3,12,3.3,
1586,HIST 298  01,SPECIAL TOPICS - HISTORY,5,Arr,AR:R M,BE 4128,"Lane,bradley",1,/,5,0,0.2,0.2,
1587,HIST 299  01,SPECIAL PROBLEMS - HIST,5,Arr,AR:R M,BE 4128,"Lane,bradley",0,/,5,0,0,0,
2201,HOS 101  01,CUSTMR SVC PRACTICUM I,1,Arr,AR:R M,ARR,"Dillard, t. ",33,/,50,0,2.2,1.9,
2202,HOS 102  01,CUST SVC PRACTICUM II,1,Arr,AR:R M,ARR,"Dillard, t. ",29,/,42,0,1.9,1.9,
2203,HOS 103  01,CUST SVC PRACTICUM III,1,Arr,AR:R M,ARR,"Dillard, t. ",13,/,25,0,0.9,0.9,
2204,HOS 104  01,CUST SVC PRACTICUM IV,1,Arr,AR:R M,ARR,"Dillard, t. ",23,/,25,0,1.5,1.5,
2205,HOS 105  01,CUST SVC FOR SD & B,1,Arr,AR:R M,ARR,"Dillard, t. ",8,/,14,0,0.5,0.5,
2208,HOS 108  01,DINING RM & KITCHEN MGMT,4,Arr,9:00 AM,ARR,"Dillard, t. ",22,/,20,0,5.9,5.9,
2212,HOS 110  02,PRINCIPLES OF SANITATION,3,WF,8:30 AM,BE 3212,"Redman, paul",13,/,30,0,2.6,2.4,
,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
,,,,,,,,,,,List,TOTAL,STATE,
2210,HOS 110  01,PRINCIPLES OF SANITATION,3,WF,8:30 AM,BE 3212,"Redman, paul",23,/,30,0,4.6,3.6,
2211,HOS 111  01,INTRO TO CUST SERVICE,1,F,2:00 PM,BE 2111,"Dillard, t. ",17,/,25,0,1.1,1.1,
2222,HOS 122  01,PURCHASING/INVENTORY:TH,1,Th,2:00 PM,BE 2122,"Dillard, t. ",30,/,40,0,2,1.9,
2223,HOS 123  01,FOOD COSTING PRINCIPLES,1,T,2:00 PM,BE 2122,"Dillard, t. ",31,/,42,0,2.1,1.9,
2224,HOS 124  01,COMPUTERIZED MENU PLANNG,2,W,2:00 PM,BE 3161,"Dillard, t. ",23,/,25,0,3.1,2.9,
7875,HOS 197  01,WORK EXP:HOSPITALITY,5,Arr,AR:R M,-,"Kato, karen ",0,/,15,0,0,0,
2261,HOS 201  01,FUNCTIONS OF MANAGEMENT,2,WTh,8:00 AM,BE 2121,"Dillard, t. ",31,/,35,0,4.1,4,
5000,HSC 091  01,EDP SKILLS,5,Arr,AR:R M,BE 3122,Di zazzo ,1,/,10,0,0.3,0.3,
5001,HSC 092  01,EDP SKILLS ENHANCEMENT 2,5,Arr,AR:R M,BE 3122,Di zazzo ,1,/,10,0,0.3,0.3,
9134,HUM 105  OL,IS/S-INTERCULTURAL COMM,5,Online,-,-,"Kigerl, c. ",22,/,25,6,7.3,7,
528,HUM 105  AC,IS-INTERCULTURAL COMM,5,MTWTh,10:00 AM,BE 4151,"Al-madani,m.",18,/,50,0,6,6,
808,HUM 105  01,IS/S INTERCULTURAL COMM,5,DAILY,8:00 AM,BE 4167,"Al-madani,m.",28,/,35,0,9.3,7.7,
812,HUM 105  IP,IS/S INTERCULTURAL COMM,5,DAILY,10:00 AM,BE 4148,"Hunt,valerie",33,/,35,0,11,0.7,
816,HUM 105  08,IS/S INTERCULTURAL COMM,5,DAILY,1:00 PM,BE 4166,"Zouari,jawed",35,/,35,2,11.7,6.3,
810,HUM 105  03,IS/S INTERCULTURAL COMM,5,DAILY,9:00 AM,BE 4167,"Tyler,kelsey",42,/,35,2,14,6,
811,HUM 105  04,IS/S INTERCULTURAL COMM,5,DAILY,10:00 AM,BE 4134,"Abe, daudi ",41,/,35,2,13.7,4.3,
819,HUM 105  10,IS/S INTERCULTURAL COMM,5,DAILY,11:00 AM,BE 4135,"Hornbeck, r.",23,/,35,0,7.7,5.3,
809,HUM 105  02,IS/S INTERCULTURAL COMM,5,DAILY,8:00 AM,BE 4181,"Andresen, t.",32,/,35,0,10.7,6.7,
813,HUM 105  05,IS/S INTERCULTURAL COMM,5,DAILY,11:00 AM,BE 4166,"Ortoleva, j.",33,/,35,1,11,6,
814,HUM 105  06,IS/S INTERCULTURAL COMM,5,DAILY,12:00 PM,BE 4106,"Faucette, m.",37,/,35,0,12.3,6.3,
,,,,,,,,,,,,,,
Item,Course ID,Title,CR,Days,Time,Room,Instructor,Enrolled,,,Wait,FTES,,
,,,,,,,,,,,List,TOTAL,STATE,
815,HUM 105  07,IS/S INTERCULTURAL COMM,5,DAILY,12:00 PM,BE 4166,"Ortoleva, j.",37,/,35,5,12.3,3.7,
818,HUM 105  09,IS/S INTERCULTURAL COMM,5,TTh,6:00 PM,BE 4166,"Andresen, t.",22,/,35,1,7.3,6.3,
820,HUM 110  01,INTRO TO FILM,5,TTh,1:00 PM,BE 4106,"Rifas,l. ",31,/,35,0,10.3,5,
9182,HUM 125  OL,HIP-HOP THEORY & CULTURE,5,Online,-,-,"Abe, daudi ",19,/,25,1,6.3,5.7,
7880,HUM 197  01,WORK EXP: HUMANITIES,8,Arr,AR:R M,-,"Kato, karen ",0,/,20,0,0,0,
825,HUM 270  01,SEQUENTIAL ART: HISTORY,5,MW,1:00 PM,BE 4106,"Rifas,l. ",22,/,35,0,7.3,6.7,
826,HUM 294  01,INDEPENDENT HUM PROJECTS,5,Arr,AR:R M,BE 4128,"Lane,bradley",0,/,5,0,0,0,
829,HUM 299  01,P. PROB. IN HUMANITIES,5,Arr,AR:R M,BE 4128,"Lane,bradley",1,/,20,0,0.3,0.3,
4003,INFO 102  HY,INFO IN ACTION: RESEARCH,1,Th,1:00 PM,BE 2101A,Cancel/jan12,0,/,1,0,0,0,
4004,INFO 103  01,INFO IN ACT:FINDING & US,1,Arr,AR:R M,BE 2101A,Cancel 11/15,0,/,20,0,0,0,
4005,INFO 104  01,INFO IN ACT:MAGAZINE & N,1,Arr,AR:R M,BE 2101A,Cancel 11/15,0,/,20,0,0,0,
4006,INFO 106  01,INFO IN ACTION WEB RESEA,1,Th,1:00 PM,BE 2101T,Kanne ,1,/,20,0,0.1,0.1,
4007,INFO 106  01,INFO IN ACT:FINDING & EV,1,Arr,AR:R M,BE 2101,Cancel 11/15,0,/,10,0,0,0,
